ABX3,exp_label,is_train,A,B,X,nA,nB,nX,rA (Ang),rB (Ang),rX (Ang)
AgBrO3,-1.0,1,Ag,Br,O,1,5,-2,1.28,0.31,1.4
AgCdBr3,-1.0,1,Ag,Cd,Br,1,2,-1,1.28,0.95,1.96
PbAgBr3,-1.0,1,Pb,Ag,Br,2,1,-1,1.49,1.15,1.96
AgCaCl3,-1.0,1,Ag,Ca,Cl,1,2,-1,1.28,1.0,1.81
AgClO3,-1.0,1,Ag,Cl,O,1,5,-2,1.28,0.12,1.4
AgMgCl3,-1.0,1,Ag,Mg,Cl,1,2,-1,1.28,0.72,1.81
AgSnCl3,-1.0,1,Ag,Sn,Cl,1,2,-1,1.28,1.15,1.81
AgCoF3,1.0,1,Ag,Co,F,1,2,-1,1.28,0.74,1.33
AgCuF3,1.0,1,Ag,Cu,F,1,2,-1,1.28,0.73,1.33
AgMgF3,1.0,1,Ag,Mg,F,1,2,-1,1.28,0.72,1.33
AgMnF3,1.0,1,Ag,Mn,F,1,2,-1,1.28,0.83,1.33
AgNiF3,1.0,1,Ag,Ni,F,1,2,-1,1.28,0.69,1.33
PbAgF3,-1.0,1,Pb,Ag,F,2,1,-1,1.49,1.15,1.33
AgZnF3,1.0,1,Ag,Zn,F,1,2,-1,1.28,0.74,1.33
AgNO3,-1.0,1,Ag,N,O,1,5,-2,1.28,0.13,1.4
AgNbO3,1.0,1,Ag,Nb,O,1,5,-2,1.28,0.64,1.4
AgPO3,-1.0,1,Ag,P,O,1,5,-2,1.28,0.38,1.4
AgSbO3,-1.0,1,Ag,Sb,O,1,5,-2,1.28,0.6,1.4
AgTaO3,1.0,1,Ag,Ta,O,1,5,-2,1.28,0.64,1.4
AgVO3,-1.0,1,Ag,V,O,1,5,-2,1.28,0.54,1.4
AlBO3,-1.0,1,Al,B,O,3,3,-2,0.54,0.27,1.4
BiAlO3,1.0,1,Bi,Al,O,3,3,-2,1.17,0.54,1.4
CeAlO3,1.0,1,Ce,Al,O,3,3,-2,1.34,0.54,1.4
ErAlO3,1.0,1,Er,Al,O,3,3,-2,1.06,0.54,1.4
EuAlO3,1.0,1,Eu,Al,O,3,3,-2,1.12,0.54,1.4
FeAlO3,-1.0,1,Fe,Al,O,3,3,-2,0.78,0.54,1.4
LaAlO3,1.0,1,La,Al,O,3,3,-2,1.36,0.54,1.4
NdAlO3,1.0,1,Nd,Al,O,3,3,-2,1.27,0.54,1.4
PrAlO3,1.0,1,Pr,Al,O,3,3,-2,1.18,0.54,1.4
SmAlO3,1.0,1,Sm,Al,O,3,3,-2,1.24,0.54,1.4
TbAlO3,1.0,1,Tb,Al,O,3,3,-2,1.1,0.54,1.4
TmAlO3,1.0,1,Tm,Al,O,3,3,-2,1.05,0.54,1.4
YAlO3,1.0,1,Y,Al,O,3,3,-2,1.08,0.54,1.4
YbAlO3,1.0,1,Yb,Al,O,3,3,-2,1.04,0.54,1.4
BaAmO3,1.0,1,Ba,Am,O,2,4,-2,1.61,0.85,1.4
SrAmO3,1.0,1,Sr,Am,O,2,4,-2,1.44,0.85,1.4
AmVO3,1.0,1,Am,V,O,4,2,-2,0.95,0.79,1.4
LiAsO3,-1.0,1,Li,As,O,1,5,-2,0.92,0.46,1.4
NaAsO3,-1.0,1,Na,As,O,1,5,-2,1.39,0.46,1.4
SbAsO3,-1.0,1,Sb,As,O,3,3,-2,0.76,0.58,1.4
CrBO3,-1.0,1,Cr,B,O,3,3,-2,0.62,0.27,1.4
ErBO3,-1.0,1,Er,B,O,3,3,-2,1.06,0.27,1.4
EuBO3,-1.0,1,Eu,B,O,3,3,-2,1.12,0.27,1.4
FeBO3,-1.0,1,Fe,B,O,3,3,-2,0.78,0.27,1.4
GdBO3,-1.0,1,Gd,B,O,3,3,-2,1.11,0.27,1.4
HoBO3,-1.0,1,Ho,B,O,3,3,-2,1.12,0.27,1.4
InBO3,-1.0,1,In,B,O,3,3,-2,0.92,0.27,1.4
LaBO3,-1.0,1,La,B,O,3,3,-2,1.36,0.27,1.4
ScBO3,-1.0,1,Sc,B,O,3,3,-2,0.87,0.27,1.4
TmBO3,-1.0,1,Tm,B,O,3,3,-2,1.05,0.27,1.4
VBO3,-1.0,1,V,B,O,3,3,-2,0.64,0.27,1.4
YBO3,-1.0,1,Y,B,O,3,3,-2,1.08,0.27,1.4
CsBaBr3,-1.0,1,Cs,Ba,Br,1,2,-1,1.88,1.35,1.96
KBaBr3,-1.0,1,K,Ba,Br,1,2,-1,1.64,1.35,1.96
BaNaBr3,-1.0,1,Ba,Na,Br,2,1,-1,1.61,1.02,1.96
RbBaBr3,-1.0,1,Rb,Ba,Br,1,2,-1,1.72,1.35,1.96
BaCO3,-1.0,1,Ba,C,O,2,4,-2,1.61,0.16,1.4
BaCeO3,1.0,1,Ba,Ce,O,2,4,-2,1.61,0.87,1.4
CsBaCl3,-1.0,1,Cs,Ba,Cl,1,2,-1,1.88,1.35,1.81
KBaCl3,-1.0,1,K,Ba,Cl,1,2,-1,1.64,1.35,1.81
BaLiCl3,-1.0,1,Ba,Li,Cl,2,1,-1,1.61,0.76,1.81
BaNaCl3,-1.0,1,Ba,Na,Cl,2,1,-1,1.61,1.02,1.81
BaCoO3,-1.0,1,Ba,Co,O,2,4,-2,1.61,0.53,1.4
BaCrO3,-1.0,1,Ba,Cr,O,2,4,-2,1.61,0.55,1.4
CsBaF3,-1.0,1,Cs,Ba,F,1,2,-1,1.88,1.35,1.33
KBaF3,-1.0,1,K,Ba,F,1,2,-1,1.64,1.35,1.33
BaGeO3,-1.0,1,Ba,Ge,O,2,4,-2,1.61,0.53,1.4
BaHfO3,1.0,1,Ba,Hf,O,2,4,-2,1.61,0.71,1.4
BaIrO3,1.0,1,Ba,Ir,O,2,4,-2,1.61,0.62,1.4
BaMnO3,-1.0,1,Ba,Mn,O,2,4,-2,1.61,0.53,1.4
BaMoO3,1.0,1,Ba,Mo,O,2,4,-2,1.61,0.65,1.4
BaNpO3,1.0,1,Ba,Np,O,2,4,-2,1.61,0.87,1.4
BaPaO3,1.0,1,Ba,Pa,O,2,4,-2,1.61,0.9,1.4
BaPbO3,1.0,1,Ba,Pb,O,2,4,-2,1.61,0.78,1.4
BaSiO3,-1.0,1,Ba,Si,O,2,4,-2,1.61,0.4,1.4
BaThO3,1.0,1,Ba,Th,O,2,4,-2,1.61,0.94,1.4
BaTiO3,1.0,1,Ba,Ti,O,2,4,-2,1.61,0.6,1.4
BaUO3,1.0,1,Ba,U,O,2,4,-2,1.61,0.89,1.4
KBeCl3,-1.0,1,K,Be,Cl,1,2,-1,1.64,0.45,1.81
NaBeCl3,-1.0,1,Na,Be,Cl,1,2,-1,1.39,0.45,1.81
RbBeCl3,-1.0,1,Rb,Be,Cl,1,2,-1,1.72,0.45,1.81
TlBeCl3,-1.0,1,Tl,Be,Cl,1,2,-1,1.7,0.45,1.81
CsBeF3,1.0,1,Cs,Be,F,1,2,-1,1.88,0.45,1.33
RbBeF3,-1.0,1,Rb,Be,F,1,2,-1,1.72,0.45,1.33
BiInO3,1.0,1,Bi,In,O,3,3,-2,1.17,0.8,1.4
KBiO3,-1.0,1,K,Bi,O,1,5,-2,1.64,0.76,1.4
LiBiO3,-1.0,1,Li,Bi,O,1,5,-2,0.92,0.76,1.4
BiMnO3,1.0,1,Bi,Mn,O,3,3,-2,1.17,0.64,1.4
NaBiO3,-1.0,1,Na,Bi,O,1,5,-2,1.39,0.76,1.4
BiScO3,1.0,1,Bi,Sc,O,3,3,-2,1.17,0.74,1.4
CsBrO3,-1.0,1,Cs,Br,O,1,5,-2,1.88,0.31,1.4
KBrO3,-1.0,1,K,Br,O,1,5,-2,1.64,0.31,1.4
NaBrO3,-1.0,1,Na,Br,O,1,5,-2,1.39,0.31,1.4
RbBrO3,-1.0,1,Rb,Br,O,1,5,-2,1.72,0.31,1.4
TlBrO3,-1.0,1,Tl,Br,O,1,5,-2,1.7,0.31,1.4
CaLiBr3,-1.0,1,Ca,Li,Br,2,1,-1,1.34,0.76,1.96
NaCaBr3,-1.0,1,Na,Ca,Br,1,2,-1,1.39,1.0,1.96
CsCdBr3,1.0,1,Cs,Cd,Br,1,2,-1,1.88,0.95,1.96
NaCdBr3,-1.0,1,Na,Cd,Br,1,2,-1,1.39,0.95,1.96
RbCdBr3,1.0,1,Rb,Cd,Br,1,2,-1,1.72,0.95,1.96
KCoBr3,-1.0,1,K,Co,Br,1,2,-1,1.64,0.74,1.96
LiCoBr3,-1.0,1,Li,Co,Br,1,2,-1,0.92,0.74,1.96
CsHgBr3,1.0,1,Cs,Hg,Br,1,2,-1,1.88,1.02,1.96
CsMnBr3,-1.0,1,Cs,Mn,Br,1,2,-1,1.88,0.83,1.96
CsNiBr3,-1.0,1,Cs,Ni,Br,1,2,-1,1.88,0.69,1.96
CsSnBr3,1.0,1,Cs,Sn,Br,1,2,-1,1.88,1.15,1.96
CsTiBr3,-1.0,1,Cs,Ti,Br,1,2,-1,1.88,0.86,1.96
LiMgBr3,-1.0,1,Li,Mg,Br,1,2,-1,0.92,0.72,1.96
SrLiBr3,-1.0,1,Sr,Li,Br,2,1,-1,1.44,0.76,1.96
NaMgBr3,-1.0,1,Na,Mg,Br,1,2,-1,1.39,0.72,1.96
RbMnBr3,-1.0,1,Rb,Mn,Br,1,2,-1,1.72,0.83,1.96
SrNaBr3,-1.0,1,Sr,Na,Br,2,1,-1,1.44,1.02,1.96
RbNiBr3,-1.0,1,Rb,Ni,Br,1,2,-1,1.72,0.69,1.96
CdCO3,-1.0,1,Cd,C,O,2,4,-2,1.31,0.16,1.4
CoCO3,-1.0,1,Co,C,O,2,4,-2,0.9,0.16,1.4
MgCO3,-1.0,1,Mg,C,O,2,4,-2,0.89,0.16,1.4
PbCO3,-1.0,1,Pb,C,O,2,4,-2,1.49,0.16,1.4
SrCO3,-1.0,1,Sr,C,O,2,4,-2,1.44,0.16,1.4
CsCaCl3,1.0,1,Cs,Ca,Cl,1,2,-1,1.88,1.0,1.81
CaCuCl3,-1.0,1,Ca,Cu,Cl,2,1,-1,1.34,0.77,1.81
KCaCl3,1.0,1,K,Ca,Cl,1,2,-1,1.64,1.0,1.81
NaCaCl3,-1.0,1,Na,Ca,Cl,1,2,-1,1.39,1.0,1.81
RbCaCl3,1.0,1,Rb,Ca,Cl,1,2,-1,1.72,1.0,1.81
CsCaF3,1.0,1,Cs,Ca,F,1,2,-1,1.88,1.0,1.33
KCaF3,1.0,1,K,Ca,F,1,2,-1,1.64,1.0,1.33
CaLiF3,-1.0,1,Ca,Li,F,2,1,-1,1.34,0.76,1.33
NaCaF3,-1.0,1,Na,Ca,F,1,2,-1,1.39,1.0,1.33
CaHfO3,1.0,1,Ca,Hf,O,2,4,-2,1.34,0.71,1.4
KCaI3,-1.0,1,K,Ca,I,1,2,-1,1.64,1.0,2.2
NaCaI3,-1.0,1,Na,Ca,I,1,2,-1,1.39,1.0,2.2
RbCaI3,-1.0,1,Rb,Ca,I,1,2,-1,1.72,1.0,2.2
CaIrO3,1.0,1,Ca,Ir,O,2,4,-2,1.34,0.62,1.4
CaNbO3,1.0,1,Ca,Nb,O,2,4,-2,1.34,0.68,1.4
CaPbO3,1.0,1,Ca,Pb,O,2,4,-2,1.34,0.78,1.4
CaRuO3,1.0,1,Ca,Ru,O,2,4,-2,1.34,0.62,1.4
CaSiO3,1.0,1,Ca,Si,O,2,4,-2,1.34,0.4,1.4
CaSnO3,1.0,1,Ca,Sn,O,2,4,-2,1.34,0.69,1.4
CaTiO3,1.0,1,Ca,Ti,O,2,4,-2,1.34,0.6,1.4
CaUO3,1.0,1,Ca,U,O,2,4,-2,1.34,0.89,1.4
CaVO3,1.0,1,Ca,V,O,2,4,-2,1.34,0.58,1.4
CaZrO3,1.0,1,Ca,Zr,O,2,4,-2,1.34,0.72,1.4
CdCuCl3,-1.0,1,Cd,Cu,Cl,2,1,-1,1.31,0.77,1.81
KCdCl3,1.0,1,K,Cd,Cl,1,2,-1,1.64,0.95,1.81
NaCdCl3,-1.0,1,Na,Cd,Cl,1,2,-1,1.39,0.95,1.81
RbCdCl3,1.0,1,Rb,Cd,Cl,1,2,-1,1.72,0.95,1.81
TlCdCl3,1.0,1,Tl,Cd,Cl,1,2,-1,1.7,0.95,1.81
CsCdF3,1.0,1,Cs,Cd,F,1,2,-1,1.88,0.95,1.33
KCdF3,1.0,1,K,Cd,F,1,2,-1,1.64,0.95,1.33
NaCdF3,-1.0,1,Na,Cd,F,1,2,-1,1.39,0.95,1.33
RbCdF3,1.0,1,Rb,Cd,F,1,2,-1,1.72,0.95,1.33
TlCdF3,1.0,1,Tl,Cd,F,1,2,-1,1.7,0.95,1.33
CdGeO3,1.0,1,Cd,Ge,O,2,4,-2,1.31,0.53,1.4
KCdI3,-1.0,1,K,Cd,I,1,2,-1,1.64,0.95,2.2
NaCdI3,-1.0,1,Na,Cd,I,1,2,-1,1.39,0.95,2.2
TlCdI3,-1.0,1,Tl,Cd,I,1,2,-1,1.7,0.95,2.2
CdPbO3,-1.0,1,Cd,Pb,O,2,4,-2,1.31,0.78,1.4
CdSO3,-1.0,1,Cd,S,O,2,4,-2,1.31,0.37,1.4
CdSeO3,-1.0,1,Cd,Se,O,2,4,-2,1.31,0.5,1.4
TeCdO3,-1.0,1,Te,Cd,O,4,2,-2,0.97,0.95,1.4
CeCrO3,1.0,1,Ce,Cr,O,4,2,-2,1.14,0.8,1.4
CeFeO3,1.0,1,Ce,Fe,O,4,2,-2,1.14,0.78,1.4
CeLuO3,1.0,1,Ce,Lu,O,3,3,-2,1.34,0.86,1.4
SrCeO3,1.0,1,Sr,Ce,O,2,4,-2,1.44,0.87,1.4
CeVO3,1.0,1,Ce,V,O,4,2,-2,1.14,0.79,1.4
KClO3,-1.0,1,K,Cl,O,1,5,-2,1.64,0.12,1.4
RbClO3,-1.0,1,Rb,Cl,O,1,5,-2,1.72,0.12,1.4
RbCoCl3,-1.0,1,Rb,Co,Cl,1,2,-1,1.72,0.74,1.81
CsCrCl3,-1.0,1,Cs,Cr,Cl,1,2,-1,1.88,0.8,1.81
CrLiCl3,-1.0,1,Cr,Li,Cl,2,1,-1,0.8,0.76,1.81
NaCrCl3,-1.0,1,Na,Cr,Cl,1,2,-1,1.39,0.8,1.81
RbCrCl3,1.0,1,Rb,Cr,Cl,1,2,-1,1.72,0.8,1.81
CsEuCl3,1.0,1,Cs,Eu,Cl,1,2,-1,1.88,1.17,1.81
CsFeCl3,-1.0,1,Cs,Fe,Cl,1,2,-1,1.88,0.78,1.81
CsGeCl3,-1.0,1,Cs,Ge,Cl,1,2,-1,1.88,0.73,1.81
CsHgCl3,1.0,1,Cs,Hg,Cl,1,2,-1,1.88,1.02,1.81
CsMnCl3,1.0,1,Cs,Mn,Cl,1,2,-1,1.88,0.83,1.81
CsNiCl3,-1.0,1,Cs,Ni,Cl,1,2,-1,1.88,0.69,1.81
CsSnCl3,1.0,1,Cs,Sn,Cl,1,2,-1,1.88,1.15,1.81
CsSrCl3,1.0,1,Cs,Sr,Cl,1,2,-1,1.88,1.18,1.81
CsVCl3,-1.0,1,Cs,V,Cl,1,2,-1,1.88,0.79,1.81
RbEuCl3,-1.0,1,Rb,Eu,Cl,1,2,-1,1.72,1.17,1.81
KFeCl3,1.0,1,K,Fe,Cl,1,2,-1,1.64,0.78,1.81
RbFeCl3,-1.0,1,Rb,Fe,Cl,1,2,-1,1.72,0.78,1.81
KMnCl3,1.0,1,K,Mn,Cl,1,2,-1,1.64,0.83,1.81
KNiCl3,-1.0,1,K,Ni,Cl,1,2,-1,1.64,0.69,1.81
KSmCl3,-1.0,1,K,Sm,Cl,1,2,-1,1.64,1.22,1.81
LiMgCl3,-1.0,1,Li,Mg,Cl,1,2,-1,0.92,0.72,1.81
LiNiCl3,-1.0,1,Li,Ni,Cl,1,2,-1,0.92,0.69,1.81
PbLiCl3,-1.0,1,Pb,Li,Cl,2,1,-1,1.49,0.76,1.81
VLiCl3,-1.0,1,V,Li,Cl,2,1,-1,0.79,0.76,1.81
NaMnCl3,-1.0,1,Na,Mn,Cl,1,2,-1,1.39,0.83,1.81
RbMnCl3,1.0,1,Rb,Mn,Cl,1,2,-1,1.72,0.83,1.81
NaNiCl3,-1.0,1,Na,Ni,Cl,1,2,-1,1.39,0.69,1.81
SnNaCl3,-1.0,1,Sn,Na,Cl,2,1,-1,1.15,1.02,1.81
NaZnCl3,-1.0,1,Na,Zn,Cl,1,2,-1,1.39,0.74,1.81
TlPbCl3,-1.0,1,Tl,Pb,Cl,1,2,-1,1.7,1.19,1.81
RbSrCl3,-1.0,1,Rb,Sr,Cl,1,2,-1,1.72,1.18,1.81
TlSrCl3,-1.0,1,Tl,Sr,Cl,1,2,-1,1.7,1.18,1.81
TlZnCl3,-1.0,1,Tl,Zn,Cl,1,2,-1,1.7,0.74,1.81
DyCoO3,1.0,1,Dy,Co,O,3,3,-2,1.08,0.61,1.4
KCoF3,1.0,1,K,Co,F,1,2,-1,1.64,0.74,1.33
RbCoF3,1.0,1,Rb,Co,F,1,2,-1,1.72,0.74,1.33
TlCoF3,1.0,1,Tl,Co,F,1,2,-1,1.7,0.74,1.33
GdCoO3,1.0,1,Gd,Co,O,3,3,-2,1.11,0.61,1.4
HoCoO3,1.0,1,Ho,Co,O,3,3,-2,1.12,0.61,1.4
KCoI3,-1.0,1,K,Co,I,1,2,-1,1.64,0.74,2.2
LaCoO3,1.0,1,La,Co,O,3,3,-2,1.36,0.61,1.4
CoMnO3,-1.0,1,Co,Mn,O,2,4,-2,0.9,0.53,1.4
NdCoO3,1.0,1,Nd,Co,O,3,3,-2,1.27,0.61,1.4
PrCoO3,1.0,1,Pr,Co,O,3,3,-2,1.18,0.61,1.4
CoSeO3,-1.0,1,Co,Se,O,2,4,-2,0.9,0.5,1.4
CoSiO3,-1.0,1,Co,Si,O,2,4,-2,0.9,0.4,1.4
SrCoO3,1.0,1,Sr,Co,O,2,4,-2,1.44,0.53,1.4
TeCoO3,-1.0,1,Te,Co,O,4,2,-2,0.97,0.74,1.4
CoTiO3,-1.0,1,Co,Ti,O,2,4,-2,0.9,0.6,1.4
YCoO3,1.0,1,Y,Co,O,3,3,-2,1.08,0.61,1.4
DyCrO3,1.0,1,Dy,Cr,O,3,3,-2,1.08,0.62,1.4
ErCrO3,1.0,1,Er,Cr,O,3,3,-2,1.06,0.62,1.4
EuCrO3,1.0,1,Eu,Cr,O,3,3,-2,1.12,0.62,1.4
KCrF3,1.0,1,K,Cr,F,1,2,-1,1.64,0.8,1.33
NaCrF3,1.0,1,Na,Cr,F,1,2,-1,1.39,0.8,1.33
RbCrF3,1.0,1,Rb,Cr,F,1,2,-1,1.72,0.8,1.33
GdCrO3,1.0,1,Gd,Cr,O,3,3,-2,1.11,0.62,1.4
LaCrO3,1.0,1,La,Cr,O,3,3,-2,1.36,0.62,1.4
LuCrO3,1.0,1,Lu,Cr,O,3,3,-2,1.03,0.62,1.4
CrMoO3,-1.0,1,Cr,Mo,O,2,4,-2,0.8,0.65,1.4
NdCrO3,1.0,1,Nd,Cr,O,3,3,-2,1.27,0.62,1.4
PrCrO3,1.0,1,Pr,Cr,O,3,3,-2,1.18,0.62,1.4
PuCrO3,1.0,1,Pu,Cr,O,4,2,-2,0.96,0.8,1.4
ScCrO3,1.0,1,Sc,Cr,O,3,3,-2,0.87,0.62,1.4
TmCrO3,1.0,1,Tm,Cr,O,3,3,-2,1.05,0.62,1.4
VCrO3,-1.0,1,V,Cr,O,3,3,-2,0.64,0.62,1.4
YCrO3,1.0,1,Y,Cr,O,3,3,-2,1.08,0.62,1.4
YbCrO3,1.0,1,Yb,Cr,O,3,3,-2,1.04,0.62,1.4
CsDyI3,1.0,1,Cs,Dy,I,1,2,-1,1.88,1.07,2.2
CsMgF3,1.0,1,Cs,Mg,F,1,2,-1,1.88,0.72,1.33
CsMnF3,-1.0,1,Cs,Mn,F,1,2,-1,1.88,0.83,1.33
CsGeI3,-1.0,1,Cs,Ge,I,1,2,-1,1.88,0.73,2.2
CsMgI3,-1.0,1,Cs,Mg,I,1,2,-1,1.88,0.72,2.2
CsMnI3,-1.0,1,Cs,Mn,I,1,2,-1,1.88,0.83,2.2
CsNiI3,-1.0,1,Cs,Ni,I,1,2,-1,1.88,0.69,2.2
CsPbI3,1.0,1,Cs,Pb,I,1,2,-1,1.88,1.19,2.2
CsSnI3,1.0,1,Cs,Sn,I,1,2,-1,1.88,1.15,2.2
CsSrI3,-1.0,1,Cs,Sr,I,1,2,-1,1.88,1.18,2.2
CsTiI3,-1.0,1,Cs,Ti,I,1,2,-1,1.88,0.86,2.2
CsTmI3,1.0,1,Cs,Tm,I,1,2,-1,1.88,1.03,2.2
CsVI3,-1.0,1,Cs,V,I,1,2,-1,1.88,0.79,2.2
CsYbI3,1.0,1,Cs,Yb,I,1,2,-1,1.88,1.02,2.2
CsNbO3,-1.0,1,Cs,Nb,O,1,5,-2,1.88,0.64,1.4
CsVO3,-1.0,1,Cs,V,O,1,5,-2,1.88,0.54,1.4
KCuF3,1.0,1,K,Cu,F,1,2,-1,1.64,0.73,1.33
RbCuF3,1.0,1,Rb,Cu,F,1,2,-1,1.72,0.73,1.33
TlCuF3,1.0,1,Tl,Cu,F,1,2,-1,1.7,0.73,1.33
CuGeO3,-1.0,1,Cu,Ge,O,2,4,-2,0.73,0.53,1.4
LaCuO3,1.0,1,La,Cu,O,3,3,-2,1.36,0.54,1.4
CuNbO3,-1.0,1,Cu,Nb,O,1,5,-2,0.77,0.64,1.4
CuVO3,-1.0,1,Cu,V,O,1,5,-2,0.77,0.54,1.4
DyFeO3,1.0,1,Dy,Fe,O,3,3,-2,1.08,0.64,1.4
RbDyI3,1.0,1,Rb,Dy,I,1,2,-1,1.72,1.07,2.2
DyMnO3,1.0,1,Dy,Mn,O,3,3,-2,1.08,0.64,1.4
DyNiO3,1.0,1,Dy,Ni,O,3,3,-2,1.08,0.6,1.4
DyRhO3,1.0,1,Dy,Rh,O,3,3,-2,1.08,0.66,1.4
DyTiO3,1.0,1,Dy,Ti,O,3,3,-2,1.08,0.67,1.4
DyVO3,1.0,1,Dy,V,O,3,3,-2,1.08,0.64,1.4
ErFeO3,1.0,1,Er,Fe,O,3,3,-2,1.06,0.64,1.4
ErMnO3,1.0,1,Er,Mn,O,3,3,-2,1.06,0.64,1.4
ErNiO3,1.0,1,Er,Ni,O,3,3,-2,1.06,0.6,1.4
ErTiO3,1.0,1,Er,Ti,O,3,3,-2,1.06,0.67,1.4
ErVO3,1.0,1,Er,V,O,3,3,-2,1.06,0.64,1.4
EuFeO3,1.0,1,Eu,Fe,O,3,3,-2,1.12,0.64,1.4
EuGaO3,1.0,1,Eu,Ga,O,3,3,-2,1.12,0.62,1.4
EuMnO3,1.0,1,Eu,Mn,O,3,3,-2,1.12,0.64,1.4
EuNiO3,1.0,1,Eu,Ni,O,3,3,-2,1.12,0.6,1.4
EuScO3,1.0,1,Eu,Sc,O,3,3,-2,1.12,0.74,1.4
KFeF3,1.0,1,K,Fe,F,1,2,-1,1.64,0.78,1.33
NaFeF3,1.0,1,Na,Fe,F,1,2,-1,1.39,0.78,1.33
TlFeF3,1.0,1,Tl,Fe,F,1,2,-1,1.7,0.78,1.33
KHgF3,1.0,1,K,Hg,F,1,2,-1,1.64,1.02,1.33
KMgF3,1.0,1,K,Mg,F,1,2,-1,1.64,0.72,1.33
KMnF3,1.0,1,K,Mn,F,1,2,-1,1.64,0.83,1.33
KNiF3,1.0,1,K,Ni,F,1,2,-1,1.64,0.69,1.33
KVF3,1.0,1,K,V,F,1,2,-1,1.64,0.79,1.33
KZnF3,1.0,1,K,Zn,F,1,2,-1,1.64,0.74,1.33
LiMgF3,-1.0,1,Li,Mg,F,1,2,-1,0.92,0.72,1.33
MnLiF3,-1.0,1,Mn,Li,F,2,1,-1,0.96,0.76,1.33
